02.14 18.16.02  INFO	ru.sfedu.crm.Main:10 - hello world
02.15 11.13.47  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:99 - getTables[]: resultList: [[Ljava.lang.Object;@67064bdc, [Ljava.lang.Object;@4a7fd0c9, [Ljava.lang.Object;@18578491, [Ljava.lang.Object;@3291b443, [Ljava.lang.Object;@671c4166, [Ljava.lang.Object;@53d13cd4]
02.15 11.13.47  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:86 - getUsers[]: resultList: [[Ljava.lang.Object;@44032fde]
02.15 11.13.47  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:111 - getColumns[]: resultList: [[Ljava.lang.Object;@507d64aa, [Ljava.lang.Object;@37045b48, [Ljava.lang.Object;@60b34931, [Ljava.lang.Object;@4aa21f9d]
02.15 11.13.47  INFO	ru.sfedu.crm.Main:17 - Main[1]: End
02.15 11.15.58  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.15 11.15.59  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:74 - getSchemas[]: resultList: [INFORMATION_SCHEMA, PUBLIC]
02.15 11.15.59  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:99 - getTables[]: resultList: [[Ljava.lang.Object;@67064bdc, [Ljava.lang.Object;@4a7fd0c9, [Ljava.lang.Object;@18578491, [Ljava.lang.Object;@3291b443, [Ljava.lang.Object;@671c4166, [Ljava.lang.Object;@53d13cd4]
02.15 11.15.59  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:86 - getUsers[]: resultList: [[Ljava.lang.Object;@44032fde]
02.15 11.15.59  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:111 - getColumns[]: resultList: [[Ljava.lang.Object;@507d64aa, [Ljava.lang.Object;@37045b48, [Ljava.lang.Object;@60b34931, [Ljava.lang.Object;@4aa21f9d]
02.15 11.15.59  INFO	ru.sfedu.crm.Main:17 - Main[1]: End
02.15 11.16.08  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.15 11.16.09  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:74 - getSchemas[]: resultList: [INFORMATION_SCHEMA, PUBLIC]
02.15 11.16.09  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:99 - getTables[]: resultList: [[Ljava.lang.Object;@67064bdc, [Ljava.lang.Object;@4a7fd0c9, [Ljava.lang.Object;@18578491, [Ljava.lang.Object;@3291b443, [Ljava.lang.Object;@671c4166, [Ljava.lang.Object;@53d13cd4]
02.15 11.16.09  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:86 - getUsers[]: resultList: [[Ljava.lang.Object;@44032fde]
02.15 11.16.09  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:111 - getColumns[]: resultList: [[Ljava.lang.Object;@507d64aa, [Ljava.lang.Object;@37045b48, [Ljava.lang.Object;@60b34931, [Ljava.lang.Object;@4aa21f9d]
02.15 11.16.09  INFO	ru.sfedu.crm.Main:17 - Main[1]: End
02.15 11.22.25  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.15 11.22.26  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:74 - getSchemas[]: resultList: [INFORMATION_SCHEMA, PUBLIC]
02.15 11.22.26  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:99 - getTables[]: resultList: [[Ljava.lang.Object;@67064bdc, [Ljava.lang.Object;@4a7fd0c9, [Ljava.lang.Object;@18578491, [Ljava.lang.Object;@3291b443, [Ljava.lang.Object;@671c4166, [Ljava.lang.Object;@53d13cd4]
02.15 11.22.26  INFO	ru.sfedu.crm.Main:14 - [[Ljava.lang.Object;@67064bdc, [Ljava.lang.Object;@4a7fd0c9, [Ljava.lang.Object;@18578491, [Ljava.lang.Object;@3291b443, [Ljava.lang.Object;@671c4166, [Ljava.lang.Object;@53d13cd4]
02.15 11.22.26  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:86 - getUsers[]: resultList: [[Ljava.lang.Object;@44032fde]
02.15 11.22.27  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:111 - getColumns[]: resultList: [[Ljava.lang.Object;@507d64aa, [Ljava.lang.Object;@37045b48, [Ljava.lang.Object;@60b34931, [Ljava.lang.Object;@4aa21f9d]
02.15 11.22.27  INFO	ru.sfedu.crm.Main:17 - Main[1]: End
02.15 11.47.20  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.15 11.47.21  INFO	ru.sfedu.crm.Main:18 - Main[1]: End
02.15 11.47.33  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.15 11.47.34  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:61 - getRecords[]: resultList: [INFORMATION_SCHEMA, PUBLIC]
02.15 11.47.34  INFO	ru.sfedu.crm.Main:18 - Main[1]: End
02.15 11.47.50  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.15 11.47.51  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:61 - getRecords[]: resultList: [[Ljava.lang.Object;@3722c145, [Ljava.lang.Object;@4cbc2e3b, [Ljava.lang.Object;@2975a9e, [Ljava.lang.Object;@765ffb14, [Ljava.lang.Object;@57562473, [Ljava.lang.Object;@7a360554]
02.15 11.47.51  INFO	ru.sfedu.crm.Main:18 - Main[1]: End
02.15 11.48.45  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.15 11.48.46  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:61 - getRecords[]: resultList: [[Ljava.lang.Object;@6192a5d5, [Ljava.lang.Object;@3722c145, [Ljava.lang.Object;@4cbc2e3b, [Ljava.lang.Object;@2975a9e, [Ljava.lang.Object;@765ffb14, [Ljava.lang.Object;@57562473]
02.15 11.48.46  INFO	ru.sfedu.crm.Main:18 - Main[1]: End
02.15 11.53.38  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.15 11.54.46  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.15 11.54.47  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:62 - getRecords[]: resultList: [[Ljava.lang.Object;@3722c145]
02.15 11.54.47  INFO	ru.sfedu.crm.Main:18 - Main[1]: End
02.15 11.56.26  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.15 11.56.27  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:62 - getRecords[]: resultList: [[Ljava.lang.Object;@3722c145]
02.15 11.56.27  INFO	ru.sfedu.crm.Main:18 - Main[1]: End
02.15 11.59.36  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.15 11.59.37  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:62 - getRecords[]: resultList: java.util.stream.ReferencePipeline$Head@3722c145
02.15 11.59.37  INFO	ru.sfedu.crm.Main:18 - Main[1]: End
02.15 12.00.07  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.15 12.00.08  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:62 - getRecords[]: resultList: [[Ljava.lang.Object;@3722c145]
02.15 12.00.08  INFO	ru.sfedu.crm.Main:18 - Main[1]: End
02.15 12.00.17  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.15 12.00.18  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:62 - getRecords[]: resultList: [[Ljava.lang.Object;@3722c145]
02.15 12.00.18  INFO	ru.sfedu.crm.Main:18 - Main[1]: End
02.15 12.00.47  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.15 12.00.47  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:62 - [[Ljava.lang.Object;@7a360554]
02.15 12.00.47  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:63 - getRecords[]: resultList: [[Ljava.lang.Object;@424de326]
02.15 12.00.47  INFO	ru.sfedu.crm.Main:18 - Main[1]: End
02.15 12.01.44  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.15 12.01.45  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:62 - [Ljava.lang.Object;@7a360554
02.15 12.01.45  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:63 - getRecords[]: resultList: [[Ljava.lang.Object;@424de326]
02.15 12.01.45  INFO	ru.sfedu.crm.Main:18 - Main[1]: End
02.15 12.06.08  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.15 12.06.09  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:62 - getRecords[]: resultList: 1
02.15 12.06.09  INFO	ru.sfedu.crm.Main:18 - Main[1]: End
02.15 12.07.20  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.15 12.07.21  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:62 - getRecords[]: resultList: 1
02.15 12.07.21  INFO	ru.sfedu.crm.Main:18 - Main[1]: End
02.15 12.20.44  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.15 12.20.46  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:62 - getRecords[]: resultList: [REQUEST, WORKER, USER, REQUESTCATEGORY, CLIENT, FEEDBACK]
02.15 12.20.46  INFO	ru.sfedu.crm.Main:18 - Main[1]: End
02.15 12.21.40  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.15 12.21.42  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:62 - getRecords[]: resultList: [INFORMATION_SCHEMA, PUBLIC]
02.15 12.21.42  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:75 - getSchemas[]: resultList: [INFORMATION_SCHEMA, PUBLIC]
02.15 12.21.42  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:62 - getRecords[]: resultList: [REQUEST, WORKER, USER, REQUESTCATEGORY, CLIENT, FEEDBACK]
02.15 12.21.42  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:87 - getUsers[]: resultList: [REQUEST, WORKER, USER, REQUESTCATEGORY, CLIENT, FEEDBACK]
02.15 12.21.42  INFO	ru.sfedu.crm.Main:17 - Main[1]: End
02.15 12.29.15  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.15 12.29.17  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:62 - getRecords[]: resultList: [INFORMATION_SCHEMA, PUBLIC]
02.15 12.29.17  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:75 - getSchemas[]: resultList: [INFORMATION_SCHEMA, PUBLIC]
02.15 12.29.17  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:62 - getRecords[]: resultList: [[Ljava.lang.Object;@765ffb14]
02.15 12.29.17  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:87 - getUsers[]: resultList: [[Ljava.lang.Object;@765ffb14]
02.15 12.29.17  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:62 - getRecords[]: resultList: [REQUEST, WORKER, USER, REQUESTCATEGORY, CLIENT, FEEDBACK]
02.15 12.29.17  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:100 - getTables[]: resultList: [REQUEST, WORKER, USER, REQUESTCATEGORY, CLIENT, FEEDBACK]
02.15 12.29.17  INFO	ru.sfedu.crm.Main:17 - Main[1]: End
02.15 12.30.51  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.15 12.30.52  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:62 - getRecords[]: resultList: [INFORMATION_SCHEMA, PUBLIC]
02.15 12.30.52  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:75 - getSchemas[]: resultList: [INFORMATION_SCHEMA, PUBLIC]
02.15 12.30.52  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:62 - getRecords[]: resultList: [USER]
02.15 12.30.52  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:87 - getUsers[]: resultList: [USER]
02.15 12.30.52  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:62 - getRecords[]: resultList: [REQUEST, WORKER, USER, REQUESTCATEGORY, CLIENT, FEEDBACK]
02.15 12.30.52  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:100 - getTables[]: resultList: [REQUEST, WORKER, USER, REQUESTCATEGORY, CLIENT, FEEDBACK]
02.15 12.30.52  INFO	ru.sfedu.crm.Main:17 - Main[1]: End
02.15 12.33.12  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.15 12.33.13  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:75 - getSchemas[]: resultList: [INFORMATION_SCHEMA, PUBLIC]
02.15 12.33.13  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:87 - getUsers[]: resultList: [USER]
02.15 12.33.13  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:100 - getTables[]: resultList: [REQUEST, WORKER, USER, REQUESTCATEGORY, CLIENT, FEEDBACK]
02.15 12.33.13  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:112 - getColumns[]: resultList: [ID, CLIENTID, DATE, CATEGORY, STATUS, DESCRIPTION, DISMISSINGREASON, ID, NAME, BIRTHDATE, PHONENUMBER, POSITION, EMPLOYMENTDATE, LEAVEDATE, ID, NAME, BIRTHDATE, PHONENUMBER, ID, CATEGORYNAME, ID, NAME, BIRTHDATE, PHONENUMBER, INN, STATUS, ID, REQUEST, RATE, MESSAGE]
02.15 12.33.13  INFO	ru.sfedu.crm.Main:17 - Main[1]: End
02.15 12.52.16  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.15 12.52.18  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:75 - getSchemas[]: resultList: [INFORMATION_SCHEMA, PUBLIC]
02.15 12.52.18  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:87 - getUsers[]: resultList: [USER]
02.15 12.52.18  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:100 - getTables[]: resultList: [REQUEST, WORKER, USER, REQUESTCATEGORY, CLIENT, FEEDBACK]
02.15 12.52.18  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:112 - getColumns[]: resultList: [ID, CLIENTID, DATE, CATEGORY, STATUS, DESCRIPTION, DISMISSINGREASON, ID, NAME, BIRTHDATE, PHONENUMBER, POSITION, EMPLOYMENTDATE, LEAVEDATE, ID, NAME, BIRTHDATE, PHONENUMBER, ID, CATEGORYNAME, ID, NAME, BIRTHDATE, PHONENUMBER, INN, STATUS, ID, REQUEST, RATE, MESSAGE]
02.15 12.52.18  INFO	ru.sfedu.crm.Main:17 - Main[1]: End
02.15 13.00.42  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.15 13.00.44  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:75 - getSchemas[]: resultList: [INFORMATION_SCHEMA, PUBLIC]
02.15 13.00.44  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:87 - getUsers[]: resultList: [USER]
02.15 13.00.44  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:100 - getTables[]: resultList: [REQUEST, WORKER, USER, REQUESTCATEGORY, CLIENT, FEEDBACK]
02.15 13.00.44  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:112 - getColumns[]: resultList: [ID, CLIENTID, DATE, CATEGORY, STATUS, DESCRIPTION, DISMISSINGREASON, ID, NAME, BIRTHDATE, PHONENUMBER, POSITION, EMPLOYMENTDATE, LEAVEDATE, ID, NAME, BIRTHDATE, PHONENUMBER, ID, CATEGORYNAME, ID, NAME, BIRTHDATE, PHONENUMBER, INN, STATUS, ID, REQUEST, RATE, MESSAGE]
02.15 13.00.44  INFO	ru.sfedu.crm.Main:17 - Main[1]: End
02.15 13.27.40  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.15 13.27.41  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:75 - getSchemas[]: resultList: [INFORMATION_SCHEMA, PUBLIC]
02.15 13.27.41  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:87 - getUsers[]: resultList: [USER]
02.15 13.27.41  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:100 - getTables[]: resultList: [REQUEST, WORKER, USER, REQUESTCATEGORY, CLIENT, FEEDBACK]
02.15 13.27.41  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:112 - getColumns[]: resultList: [ID, CLIENTID, DATE, CATEGORY, STATUS, DESCRIPTION, DISMISSINGREASON, ID, NAME, BIRTHDATE, PHONENUMBER, POSITION, EMPLOYMENTDATE, LEAVEDATE, ID, NAME, BIRTHDATE, PHONENUMBER, ID, CATEGORYNAME, ID, NAME, BIRTHDATE, PHONENUMBER, INN, STATUS, ID, REQUEST, RATE, MESSAGE]
02.15 13.27.41  INFO	ru.sfedu.crm.Main:17 - Main[1]: End
02.16 14.52.00  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.16 14.52.01  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:50 - getSchemas[]: resultList: [INFORMATION_SCHEMA, PUBLIC]
02.16 14.52.01  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:61 - getUsers[]: resultList: [USER]
02.16 14.52.01  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:73 - getTables[]: resultList: []
02.16 14.52.01  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:84 - getColumns[]: resultList: []
02.16 14.52.01  INFO	ru.sfedu.crm.Main:17 - Main[1]: End
02.16 14.53.27  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.16 14.53.28  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:50 - getSchemas[]: resultList: [INFORMATION_SCHEMA, PUBLIC]
02.16 14.53.28  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:61 - getUsers[]: resultList: [USER]
02.16 14.53.28  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:73 - getTables[]: resultList: []
02.16 14.53.28  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:84 - getColumns[]: resultList: []
02.16 14.53.28  INFO	ru.sfedu.crm.Main:17 - Main[1]: End
02.16 14.53.36  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.16 14.53.37  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:50 - getSchemas[]: resultList: [INFORMATION_SCHEMA, PUBLIC]
02.16 14.53.37  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:61 - getUsers[]: resultList: [USER]
02.16 14.53.38  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:73 - getTables[]: resultList: []
02.16 14.53.38  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:84 - getColumns[]: resultList: []
02.16 14.53.38  INFO	ru.sfedu.crm.Main:17 - Main[1]: End
02.16 14.54.18  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.16 14.54.19  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:50 - getSchemas[]: resultList: [INFORMATION_SCHEMA, PUBLIC]
02.16 14.54.19  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:61 - getUsers[]: resultList: [USER]
02.16 14.54.19  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:73 - getTables[]: resultList: [REQUEST, WORKER, USER, REQUESTCATEGORY, CLIENT, FEEDBACK]
02.16 14.54.19  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:84 - getColumns[]: resultList: [ID, CLIENTID, DATE, CATEGORY, STATUS, DESCRIPTION, DISMISSINGREASON, ID, NAME, BIRTHDATE, PHONENUMBER, POSITION, EMPLOYMENTDATE, LEAVEDATE, ID, NAME, BIRTHDATE, PHONENUMBER, ID, CATEGORYNAME, ID, NAME, BIRTHDATE, PHONENUMBER, INN, STATUS, ID, REQUEST, RATE, MESSAGE]
02.16 14.54.19  INFO	ru.sfedu.crm.Main:17 - Main[1]: End
02.16 15.27.11  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.16 15.27.12  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:50 - getSchemas[]: resultList: [INFORMATION_SCHEMA, PUBLIC]
02.16 15.27.12  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:61 - getUsers[]: resultList: [USER]
02.16 15.27.12  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:73 - getTables[]: resultList: []
02.16 15.27.12  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:84 - getColumns[]: resultList: []
02.16 15.27.12  INFO	ru.sfedu.crm.Main:15 - Main[1]: End
02.16 15.35.18  INFO	ru.sfedu.crm.Main:13 - Main[0]: Start
02.16 15.35.19  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:50 - getSchemas[]: resultList: [INFORMATION_SCHEMA, PUBLIC]
02.16 15.35.19  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:61 - getUsers[]: resultList: [USER]
02.16 15.35.19  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:73 - getTables[]: resultList: []
02.16 15.35.19  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:84 - getColumns[]: resultList: []
02.16 15.39.58  INFO	ru.sfedu.crm.Main:13 - Main[0]: Start
02.16 15.39.59  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:50 - getSchemas[]: resultList: [INFORMATION_SCHEMA, PUBLIC]
02.16 15.39.59  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:61 - getUsers[]: resultList: [USER]
02.16 15.39.59  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:73 - getTables[]: resultList: []
02.16 15.39.59  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:84 - getColumns[]: resultList: []
02.16 15.39.59 ERROR	ru.sfedu.crm.lab2.api.TestEntityProvider:30 - save[0]: saving error!
